Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
Mercy,,,15/3/1995,,,Pam Fraser Solomon,"A new spiritual anthology.<br/>Mercy. Read by Colin McFarlane , Eve Karpf and Jack Klaff.",
Metamorphosis,b09gbmx1,TRUE,26/11/2017,Remona Aly,TBI,Jonathan O'Sullivan,"Stories of metamorphosis have always captivated journalist Remona Aly. They are woven with enduring truths, moral lessons and provocative challenges.<br/><br/>Tales of metamorphosis can be both glorious and sinister, influential and cautionary. In this episode of Something Understood, Remona argues that these tales profoundly impact our collective psyche, revealing the story of the human experience.<br/><br/>The poetry of John Keats and the words of the Quran remind Remona how metamorphosis can reveal our darker nature. Metamorphosis is a recurring theme in Hinduism too with Lord Krishna confiding in his warrior friend Arjuna, ""For one who has taken his birth, death is certain; and for one who is dead, birth is certain.""<br/><br/>The episode features musical selections from Tchaikovsky and Van Morrison which underpin how metamorphosis can be part of life's purpose, moving away from stasis and encouraging reform, renewal and reflection.<br/><br/>The readers are Rachel Atkins, Laurence Kennedy and Max O'Brien.<br/><br/>Special thanks to Mandeep Moore for her Punjabi translation of Jind Kaur.",
Mindfulness,b01dmdmm,TRUE,15/4/2012,Mark Tully,Unique,Adam Fowler,"Mark Tully meditates on the art of being still, and the benefits of quiet contemplation, as medical science borrows from the practices of religious traditions.<br/><br/>He talks to Mark Williams, Professor of Clinical Psychology at the University of Oxford who teaches 'Mindfulness' techniques and whose research has shown that daily meditation can reduce the occurrence of severe depression at least as much as anti-depressants do.<br/><br/>Featuring music by Edward Elgar, Arvo Part and Jules Massenet, and words by Rainer Maria Rilke and Octavio Paz, this programme looks at how else regular contemplative sessions can enrich our lives in an increasingly busy world. For some it is a way of experiencing God, for others a means of coming to terms with their own failures, and for many it can produce profound changes in their lives.<br/><br/>As Mark Tully perceives, through the practice of Mindfulness people can drink from the well of religious insight whether they have a religious faith or not. He even accepts in the end that he should, perhaps, overcome his own reluctance to make the commitment that meditation requires, and curb the distractions that can make our minds rampage, 'like an untrained elephant'.<br/><br/>The readers are Emily Raymond and David Holt.",
Miracles,,,17/12/1995,Mark Tully,Unique,,Mark Tully considers miracles.,
Miracles of Thrift,b00lxtmg,,9/8/2009,Mark Tully,,,"Mark Tully wonders why habits of thrift have been lost in a generation, and asks how they can be recovered - and even celebrated once again - in response to the needs of the day.",
Mirror Image,b00ns20k,,15/11/2009,Mark Tully,Unique,,"Mark Tully reflects on reflections - in mirrors, photographs, film and art. What particular insight do these different reflectors offer us?<br/><br/>The readers are Emily Raymond, David Westhead and Frank Stirling.",
Mirth of Nations,b05tbs6k,,10/5/2015,Mark Tully,Unique,Adam Fowler,"From musical jokes and harmless limericks to the offence that can be caused by religious, sexual or racist humour, Mark Tully asks what makes us laugh, when it's OK to find something funny, and when a joke goes too far.<br/><br/>It's not always easy to draw the line between acceptable and unacceptable humour. For many, ethnic humour is inevitably racial humour and therefore automatically forbidden. But is it always as straightforward as that? With sociologist Christie Davies, Mark discusses how different nations form their own brand of jokes, how stereotypes emerge and how some groups become targets for humour.<br/><br/>Gilbert and Sullivan help us to laugh at those in authority, Daphne Du Maurier makes us squirm at the cruelty of a practical joke, and Mozart's Divertimento for Two Horns and String Quartet provides the punchline.",
Modern Architecture,b01hdplb,TRUE,13/5/2012,Mark Tully,Unique,Adam Fowler,"Read by: Emma Fielding and Peter Guinness<br/><br/>Mark Tully ponders why the beauty he sees in the traditional architecture of his home city, New Delhi, is not apparent in the spate of modern buildings now being built. He despairs that the new can never match the magnificence of the old.<br/><br/>But to prevent himself sliding into a state of complete reminiscence and nostalgia, he spends a day with the world renowned Indian architect, Charles Correa, visiting inspiring new projects in the city. Correa, whose British Council Building in New Delhi is upheld as a masterpiece, shares Tully's dislike of inappropriate high rise blots on the Delhi skyline, but is more optimistic that a new form of Indian architecture will emerge, anchored firmly in the cultural and mythical traditions of the country. He sees Indian cities as a place of hope, and new buildings as a way of connecting the past to the future.<br/><br/>And with a warning to himself that he must not join the ranks of those who condemned the iconic Eiffel Tower and Sydney Opera House as monstrosities, just because they were different, Tully accepts that some change is for the good, as long as it's good to look at.",
Money Worries,b00fk9rl,,23/11/2008,Mark Tully,,,"Mark Tully explores the complexities of our relationship with money. He asks why we spend so much time worrying about money and why can it have such a corrosive effect on our relationships. As the financial mood changes, what does money mean for us beyond the practicalities of day-to-day living?",
Mothering Sunday,b00j5kcl,,22/3/2009,Madeleine Bunting,,,"Madeleine Bunting explores the delights, dilemmas and dangers of modern parenting.",
Moving On,b00rv9z6,,11/4/2010,Mark Tully,Unique,Eley McAinsh,"In Something Understood this week Mark Tully explores the physical and emotional upheaval of moving home. Widely recognised as one of the most stressful of life's experiences, moving can be difficult and traumatic, but it can also be an opportunity to de-clutter, reflect and start afresh.",
Moving with God,b03s69dg,TRUE,26/1/2014,Mark Tully,Unique,Frank Stirling,"Mark Tully discusses the relationship between dance and spirituality. Both movement and specifically dance are part of the rich history of spirituality, but somehow this is often overlooked.<br/><br/>Mark Tully aims to redress the balance by investigating the relationship between the movement and dance and the transience of spirituality. He asks how physicality can play a part in formal worship and looks at dance as a metaphor for divine philosophy. He also talks to choreographer and dancer Akram Khan about his theories on the spirituality of movement and the ability of dance to cross cultural and religious borders.<br/><br/>The readings include poetry ranging from W. B. Yeats to Rumi, and there's music from Leonard Cohen to Stravinsky.<br/><br/>The readers are Adjoa Andoh and Michael Feast.",
Must the Show Go On?,,,15/6/2003,Maria Friedman,Loftus,Matt Thompson,"Actress, singer and mother Maria Friedman talks about heroes - big ones and small ones.",
My Shining Soul,,,16/2/1995,,,Jeremy Mortimer,A new spiritual anthology.<br/>My Shining Soul. Read by Michael Pennington and Tessa Worsley.,
Mysticism,,,28/5/1995,Mark Tully,Unique,,Mark Tully considers mysticism.,
Mysticism and Resistance,b00hhfbk,,15/2/2009,Mark Tully,,,"Mark Tully considers the link between mysticism and resistance. He tests Thomas Merton's suggestion that the monk is essentially someone who takes up a critical attitude to the world, and the German theologian Dorothee Soelle's insistence that authentic mystical experience always leads to resistance to the world as it exists now.",
